,day,china,confirm,death,die,health,hospit,infect,lockdown,mask,outbreak,pandem,patient,posit,record,report,spread,studi,test,vaccin,china_ks,confirm_ks,death_ks,die_ks,health_ks,hospit_ks,infect_ks,lockdown_ks,mask_ks,outbreak_ks,pandem_ks,patient_ks,posit_ks,record_ks,report_ks,spread_ks,studi_ks,test_ks,vaccin_ks
13,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146370747038159,0.16069000829846095,1.049607147271212,0.4076345851651764,0.19184278828327828,0.06159224535197769,0.0,0.0,0.18500273672687198,0.0,0.0,0.0,0.2529971573353166,0.2502251178558183,0.5425993608418545,0.3873333686459368,0.11690237830393654,0.05625297950103313,0.0
14,15,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.1518865759132756,0.13643731129826764,0.9752988329184118,0.4864276003319383,0.2022352878860111,0.0748450659462897,0.0,0.0,0.17572258417642034,0.0,0.0,0.0,0.21761392729134765,0.24853717534473954,0.519762699295513,0.3392729134664626,0.1694369405159174,0.0423468757172869,0.0
15,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1697830040432995,0.10834613415258568,0.878542295672435,0.5488850045023506,0.22755795681268404,0.08584494235216998,0.0,0.0,0.16075003972667834,0.0,0.0,0.0,0.19575189363843948,0.24110034076663786,0.5044193724950156,0.2901989865282422,0.2475237035859951,0.04671857619577485,0.0
16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.18368204530607146,0.07789960626445633,0.7928174161767038,0.6111623143881173,0.2414499355544961,0.09407277927856222,0.0,0.0,0.14082666807917066,0.0,0.0,0.0,0.1569821847908619,0.23367056870950376,0.5019828027614484,0.2419654995850775,0.3259600614439332,0.06432544096615518,0.0
17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21608842276250104,0.04687748291752597,0.7036283701467239,0.6637957518936486,0.25613644790508083,0.09915779437470584,0.0,0.0,0.11699065981602208,0.0,0.0,0.0,0.1345057118138251,0.21688648763175225,0.4928403693698445,0.1974645549728974,0.4185744301428418,0.09071808181930352,0.0
18,19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2654448505394005,0.017356145276058887,0.6114483464872804,0.6715539311757341,0.2704309903420017,0.10087751823013208,0.0,0.0,0.09057683139996843,0.0,0.0,0.0,0.10364955770962103,0.21841552342109205,0.4952981266663129,0.14632484065187712,0.515281529742042,0.1220403623073259,0.0
19,20,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0.2886240443526305,-0.036894609530871085,0.4775711990395104,0.6330278793015199,0.28403693698465515,0.09915779437470053,0.0,0.0,0.06321662517435599,0.0,0.0,-0.014301604957889347,0.08906898317354695,0.2115542843017828,0.4484877376979711,0.10260783586702238,0.5931776047460136,0.14072779278563488,0.0
20,21,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0.35692215336264943,-0.0950191570881418,0.3643024877728765,0.5949326412062219,0.29754753959423474,0.09407277927855616,0.0,0.0,0.03683810936311172,0.0,0.0,-0.019510214170948004,0.09070748803782468,0.24476932040892274,0.3870473365467235,0.0938609036495206,0.6685382347228788,0.16750534103148265,0.0
21,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.41643095502942096,-0.11096986069182703,0.2823207443895481,0.5548210533749849,0.3124459275738518,0.08584494235217527,0.0,0.0,0.013665978070844242,0.0,0.0,-0.017479739392983584,0.11893638434235075,0.33025760545225546,0.3672299027137109,0.1235693980966166,0.733873616187334,0.19844271412681055,0.0
22,23,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4647209421402929,-0.08860285678972346,0.2446775076362808,0.4975757896780972,0.3311051079682872,0.07484506594628487,0.0,0.0,-0.0037784487172828345,0.0,0.0,-0.009915779437467076,0.17116019563182294,0.4174938644349195,0.3951621731376975,0.14575983897451006,0.7833253879972348,0.23035118385507716,0.0
23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5097904196903265,-0.030884404188092237,0.19060684711397613,0.4474071719900179,0.3313911400674674,0.061592245351976826,0.0,0.0,-0.012677225135527048,0.0,0.0,0.0016243798223756214,0.2461182619135856,0.5335699277857275,0.4666913854900348,0.165492522555917,0.7983650263962039,0.2607835867012738,0.0
