,day,china,confirm,death,die,health,hospit,infect,lockdown,mask,outbreak,pandem,patient,posit,record,report,spread,studi,test,vaccin,china_ks,confirm_ks,death_ks,die_ks,health_ks,hospit_ks,infect_ks,lockdown_ks,mask_ks,outbreak_ks,pandem_ks,patient_ks,posit_ks,record_ks,report_ks,spread_ks,studi_ks,test_ks,vaccin_ks
10,11,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.053184905379623226,-0.0022845610114136106,0.06830783806028529,0.5158772438988827,0.31784439816476395,0.10674908615411974,0.0,0.0,-0.0005385364237033147,0.0,0.0,0.03496261037347012,0.7875609239245641,0.7587957012130102,0.8147305991283558,0.21338380086039785,0.4805768047914936,0.01479797506425562,0.0
11,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.02278815423932895,-0.023995366127512296,0.062968994561024,0.4372579792775361,0.30280700055119336,0.10486162612644026,0.0,0.0,0.015526386820277191,0.0,0.0,0.01400572640041664,0.7679269316888232,0.6891398264732973,0.791496915106644,0.20962164688255505,0.427301446457171,0.0041567773463350175,0.0
12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,-0.0031904654198097733,-0.034887539618888914,0.06479648837307518,0.3658924520191657,0.2814187505446513,0.10046969870546336,0.0,0.0,0.031521806180988286,0.0,0.0,-0.0040086439444874675,0.7423370178783201,0.5637559446701417,0.7615951543778311,0.20158720367220667,0.3723068698209059,0.011824422570216207,0.0
13,14,0,0,1,1,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,-0.02577113900806749,-0.03444744601584848,0.07284637251266968,0.2832777159807243,0.2547627875770232,0.09407277927856224,0.0,0.0,0.04675388880060742,0.0,0.0,-0.01983155887493904,0.7108109539700217,0.4826950580009569,0.72244645726292,0.19011953316736266,0.315207373271892,0.031053904691280217,0.0
14,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,-0.046905733001395215,-0.01808005367515808,0.0894115154404364,0.2055511414799536,0.22228225365044046,0.08584494235217224,0.0,0.0,0.06159224535197755,0.0,0.0,-0.034959478785951126,0.6748062220809725,0.4112929710260126,0.6700213641259263,0.17575083426028948,0.2529689072514445,0.05830111058142196,0.0
15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05129155852180867,-0.012677225135508395,0.1075516005438152,0.1668061514557797,0.18319120009887435,0.0748450659462879,0.0,0.0,0.07484506594628737,0.0,0.0,-0.039020428341893454,0.6653601002877976,0.3782227165986971,0.6192489008951754,0.16040750745978696,0.2071613962603997,0.10201811536628144,0.0
16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.033811819128838794,-0.009915779437469907,0.14638840334057202,0.17890778113247796,0.13949185161643446,0.061592245351978374,0.0,0.0,0.08584494235217187,0.0,0.0,-0.028603209915778194,0.6474001094690746,0.371110757985065,0.5789536875187598,0.14638840334057251,0.1591927538534873,0.16316895315782734,0.0
17,18,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-0.014301604957890181,-0.017479739392979976,0.14638840334057313,0.19070219114712328,0.093631371718132,0.04675388880060738,0.0,0.0,0.09407277927856583,0.0,0.0,0.0,0.573127107721102,0.35420661405087417,0.5601850380493331,0.1364373112982698,0.09100764517893434,0.19266557197591927,0.0
18,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-0.019510214170948503,0.12185320550170378,0.14680862333811584,0.019898652824130614,0.03114571746384985,0.0,0.0,0.09915779437470046,0.0,0.0,-0.01430160495789029,0.4934548086939637,0.367671310274198,0.4857248794957364,0.10834613415258597,0.03373060013772178,0.2172572699825207,0.0
19,20,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,-0.014301604957888847,0.1089217296113853,0.1401098222010415,-0.0315800625033118,0.01573176545367863,0.0,0.0,0.1008775182301308,0.0,0.0,-0.01951021417094706,0.430619559651818,0.3969807722866716,0.4166181118350221,0.07789960626445612,0.01446404294012771,0.2355350742447512,0.0
